"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 4.5377 6.8016 7 6.2454 15.4 8 14213 0.10312 3.1473 40080 0.31348 5.1853 21539 0.29735 1 0
"2" 5.8339 5.872 4 6.3078 19.8 7 3527 0.13143 3.8674 21966 0.61048 3.7387 3546 0.69182 1 0
"3" 1.7412 4.0264 5 5.4311 16.8 5 10184 0.072569 3.8238 19736 0.14554 6.4863 22362 0.86183 0 1
"4" 4.8622 2.3244 1 6.062 19.4 4 6627 0.25118 2.0409 22666 0.09151 8.3745 22338 0.48719 1 0
"5" 4.3188 8.431 4 5.8689 18 1 5946 0.21961 2.4203 1891 0.35309 4.9741 22540 0.28343 1 0
"6" 2.6923 4.3258 6 4.6287 13 11 46885 0.66219 1.9982 8697 0.10214 6.0815 27645 0.94279 0 1
"7" 3.5664 5.5056 3 5.3713 14 7 55211 0.77726 3.4893 6432 0.32323 4.4834 12689 0.43452 0 0
"8" 4.3426 6.2719 6 4.6956 13.6 9 56672 0.35852 2.0341 3847 0.56676 5.5678 39048 0.6733 1 1
"9" 7.5784 5.5227 3 4.2491 13 6 8574 0.21757 4.437 30571 0.87645 8.7163 54665 0.82899 0 0
"10" 6.7694 3.8255 2 5.5941 15.8 7 5252 0.63337 2.5858 21181 0.90917 6.5955 10076 0.34631 0 0
"11" 2.6501 4.5538 2 5.0154 20.2 13 46534 0.56699 2.5013 4495 0.13152 4.5181 10091 0.77182 0 0
"12" 7.0349 5.1252 4 4.7892 13.2 4 49597 0.18214 6.162 72033 0.92903 4.3317 9286 0.96616 0 0
"13" 4.7254 7.7983 9 5.2312 17 15 144520 0.74925 6.8799 194600 0.89288 5.0483 5322 0.062849 0 0
"14" 3.9369 3.8986 5 6.0134 15.8 11 23014 0.63257 2.7481 5149 0.79539 4.8246 47303 0.6324 1 0
"15" 4.7147 6.6411 9 5.334 16.2 7 9799 0.32712 3.5284 6939 0.53826 4.9554 3366 0.69812 0 0
"16" 3.795 5.8477 8 5.1357 14.6 20 13306 0.76746 6.4858 48665 0.91694 6.5218 65489 0.42366 0 0
"17" 3.8759 4.9436 7 5.2193 16.4 2 46392 0.74901 3.0074 21551 0.85415 5.1928 20526 0.56535 0 0
"18" 5.4897 3.5717 6 5.0004 12.2 5 16914 0.44412 6.0294 42881 0.57782 7.3443 39877 0.73923 0 0
"19" 5.409 4.8598 10 4.3351 13.4 9 13810 0.5831 4.5999 12854 0.40844 4.9709 41954 0.36445 0 0
"20" 5.4172 5.1888 4 5.7687 17.4 10 37774 0.82833 3.6324 19029 0.16528 4.9013 17184 0.73086 0 1
"21" 4.6715 2.8843 10 6.5829 17.2 3 3255 0.27194 3.1928 16553 0.4725 5.8021 28834 0.9141 1 0
"22" 2.7925 5.6536 4 4.5102 15 10 26450 0.21001 5.9858 28746 0.79076 5.3878 13543 0.59507 0 0
"23" 4.7172 3.9628 2 7.4038 24.4 7 19734 0.50888 4.4495 9308 0.2931 4.8443 59376 0.70662 0 0
"24" 5.6302 5.1763 3 4.7985 12.4 12 108420 0.71266 2.9192 17380 0.51183 4.0329 27519 0.25694 0 0
"25" 4.4889 5.8937 6 4.7414 14.8 14 10919 0.70452 4.0343 20969 0.44983 4.2783 26139 0.81099 1 0
